지역,내용
동해시,"동해는 태백산맥 동쪽해안에 위치해 동해바다의 영향으로 해양성기후의 특성이 나타난다. 연평균기온은 12.6℃로서, 여름철(최난월 8월 23.7℃)에는 서울에 비해 2℃가량 낮아 쾌적하며, 겨울철(최한월 1월 0.8℃)에는 서울에 비해 3℃이상 높아 따뜻하다. 전반적으로 동해바다와 태백산맥의 영향으로 다른 지역에 비해 여름에 시원하고, 겨울에는 따뜻하여 기온의 연교차가 비교적 적다.
연강수량은 1,278.9mm로서, 건조한 시기인 겨울에는 폭설이 2～3회 발생하면서 강수량이 다른 지역에 비해 상대적으로 많고, 여름에는 다른 지역에 비해 강수량이 적은 편이다.
늦여름과 초가을에 태풍의 영향으로 피해를 입기도 하며, 장마전후반이나 여름에 짙은 해무가 발생하고, 봄철과 겨울철에는 바람이 강하게 불 때가 있다."
태백시,"태백은 강원남부 산악지역에 위치하여 산악기후의 특성이 나타난다. 풍향에 따라 다른 날씨를 보이는데 동풍이 불면 상대적으로 가까운 동해해양의 영향으로 강수량이 많지만 서풍이 불면 강수량이 비교적 적다. 연평균기온은 8.7℃로서, 여름철(최난월 8월 21.0℃)에는 서울에 비해 5℃가량 낮아 생활에 쾌적하며, 겨울철(최한월 1월 -4.8℃)에는 서울에 비해 2℃이상 낮다.
연강수량은 1,324.3mm로서, 건조한 시기인 겨울에는 폭설이 2～3회 발생하고, 여름에는 다른 지역에 비해 강수량이 적은 편이나 복잡한 산악지형으로 인하여 소나기나 우박이 내릴 때가 있다.
전반적으로 해발고도가 높은 산악지역으로 다른 지역에 비해 기온이 낮아, 여름에 생활하기 좋고, 겨울에는 눈과 얼음에 관련한 겨울축제나 스포츠에 알맞으며, 기온의 연교차가 상대적으로 적다.
서리가 내리는 기간이 길고, 해발고도가 높아 안개발생이 상대적으로 많다. 주변 하천 발달이 미약하고, 겨울철 강수현상이 불규칙하여 가뭄의 피해를 겪기도 한다."
원주시,"연평균 기온의 평년값은 11.3℃이며, 최한월 평균기온은 1월(-4.3℃)에 나타나고 최난월 평균기온은 8월(24.4℃)에 나타나며, 연교차는 29.1℃이다. 
연강수량 평년값은 1343.6 mm이며, 12월(1월)의 강수량이 24.1(22.0) mm로 가장 적고 7월(8월)의 강수량이 362.2(290.1) mm로 가장 많다. 여름철 강수량은 792.4 mm로 연강수량의 58.9%를 차지하며, 연강수량은 여름철에 집중되어 있다.
연평균 풍속 평년값은 1.1 m/s이며, 월별 평균풍속은 9월과 10월에 1.0m/s로 가장 약하고, 4월에 1.6m/s로 가장 강하게 나타나며, 서풍과 남서풍이 주풍향이다.
연평균 상대습도의 평년값은 69.3%이다. 월별 상대습도를 보면 4월에 58.4%로 가장 낮고, 7월에 78.5%로 가장 높게 나타난다. 여름철의 평균 상대습도는 75.6%로 매우 습하며, 봄과 겨울철의 상대습도는 각각 61.4%, 66.8% 로 상대적으로 건조하다.
연평균 운량은 5.2할이다. 강수가 많은 여름철에 운량이 매우 높아 7월과 8월에 각각 7.4할, 6.6할로 가장 크며, 그 외에 계절은 4~5할의 운량 분포를 보인다."
영월군,"영월의 연평균기온은 10.8도 정도이며 내륙분지 지형으로서 일교차 및 연교차가 크게 발생하여 연중 최고기온 극값은 영상 37.2도, 최저기온의 극값은 영하 23.5도를 나타내며, 연 강수량은 1224.4㎜(최저 792.3mm, 2001년|최고 1408mm, 1998년)이고 이중 60∼80%가 하절기에 집중되어 내리며, 8월 상순경에 집중호우가 많이 발생한다. 눈은 평균 11월 하순에 시작되며, 이듬해 3월 하순까지 관측되어지며 20㎝이상의 폭설이 내리기도 하며, 용이한 습윤 공급으로 인하여 영월은 연간 안개가 빈번히 발생한다. 특히 가을철 안개발생 빈도수는 전국 최고수준이며, 서리도 얼음보다 1∼2주 빠른 10월 초순부터 이듬해 4월 중순까지 내립니다. 습도는 봄철에 가장 낮게 나타나며 연중 고른 풍향이 나타난다. 한편, 영월지방은 석회석으로 된 암반이 많아 논농사보다는 밭농사를 주로 하고 있다."
속초시,"속초지방의 연평균 기온은 12.2℃로 비교적 온화한 기후를 보이며, 이는 사계절에 걸쳐 동해상으로 유입되는 해풍의 영향을 받고 있기 때문이다. 연평균 강수량은 1402.2㎜로 도내에서는 비교적 비가 많은 지역이다. 한편, 겨울철에 발생하는 폭풍현상은 강한 북서 계절풍의 영향이나 4월과 5월에 걸쳐 나타나는 폭풍현상은 태백산맥의 지형적인 원인과 기상학적 원인이 복합적으로 작용하는 영동지방만의 특유한 현상이다."
철원군,"철원지방의 연평균기온은 10.2℃,연평균 일 최고기온은 16.2℃, 연평균 일 최저기온은 4.7℃로 기온차가 큰 대륙성 기후의 특징을 보이며, 특히 동절기에는 한랭지대로서 한난의 차가 크다. 연평균 강수량은 1,391.2mm로 우리나라 평균 강수량과 비슷하고 7월에 400.9mm, 8월에 338.2mm로 많은 양을 기록하고 있다. 특히 철원지방은 지형적으로 풍상측에 놓여 지형성 강수를 야기하여 집중호우가 많이 나타나고 있다. 바람은 연중 남서계열의 바람이 많으며, 풍속은 비교적 약하나 봄철(3~5월)에 다소 강하게 분다. 전반적으로 강원도 영서지방의 기후특성과 비슷하나, 춘천지방과 비교해보면 한난의 차가 더 심하고 지속적이고 국지적인 호우 형태의 강수를 보이고 있다. 또한 바람이 약하고 맑은 날이 더 많은 편이다."
평창군,"대관령은 해발 772.4m의 고산지대에 위치하므로 바람, 안개, 기온 등 고산 기후 특성이 나타난다.

연평균기온은 6.6℃이고, 최고기온이 30℃이상 되는 날이 거의 없으며, 0℃이하의 일수는 110일 이상이다. 6∼10월의 월 평균기온이 20℃를 넘지 않는 경우가 많으며, 6월에서 9월까지는 안개 발생이 잦아 연평균안개일수가 11일에 달하고, 이로 인한 일조시간의 감소도 나타난다.

연강수량은 1898.0㎜로 여름철에 50%로 편중되어 있으며, 바람은 주로 서풍으로 평균풍속이 4.3㎧로 연중 강한 편이다. 특히, 동절기에는 북동기류의 영향으로 기상변화가 심하고 대설현상이 많다."
강릉시,"연평균기온은 13.1℃이며, 연평균 최고기온과 최저기온은 각각 17.5℃와 9.2℃이다. 같은 위도의 서해안보다 기후가 온난하고, 여름에는 태백산맥의 서쪽보다 시원하다.

연평균 강수량은 1464.5㎜이며, 월별로 살펴보면 강수량은 7~9월의 여름철에 집중되어 있고, 12~2월의 겨울철에는 월평균 40~60㎜ 안팎으로 여름철과 비교하면 큰 차이를 나타낸다. 특히 8월에는 평균 298.9㎜의 높은 강수량을 나타낸다.

연평균풍속은 강릉이 2.6㎧이며, 겨울철과 봄철에 강풍현상이 자주 있으며, 계절에 관계없이 북동(NE)기류의 유입시 날씨가 나빠지며 강수 현상을 나타내는 특징을 가진다."
대전,"기온은 연평균기온 13.0℃, 가장 무더운 달인 8월 월평균기온 25.6℃, 가장 추운 달인 1월의 월평균기온 -1.0℃, 연교차는 26.6℃로 여름은 덥고 겨울에는 추운 대륙성 기후특성을 나타내고 있다.
강수량은 연평균이 1458.7mm이며 계절적으로 연강수량의 50-60%가 여름에 내리고, 5-10%는 겨울에 내린다.
바람은 일반적으로 북서계절풍이 남서계절풍보다 강하고, 특히 겨울철에는 북서풍이 불며, 운량은 7월에 많고 10월에는 적게 나타난다.
계절관측 평년값은 첫서리가 10월 24일, 첫얼음은 10월 31일, 첫눈은 11월 19일이다."
부여군,"부여는 분지형 지형으로 하절기에는 기온이 높고 일교차가 크며, 금강의 영향으로 이슬이 많고 안개가 많이 발생한다. 북으로는 성태산, 조공산, 서로는 만수산, 월명산, 비홍산이 있고, 북동으로부터 남서로 차령산맥이 뻗치고 있다.

연평균기온은 12.2℃로가장 무더운 달인 8월 월평균기온은 25.5℃, 가장 추운 달인 1월의 월평균기온은 -1.9℃이며, 연교차는 27.4℃이다.
연평균강수량은 1349.2mm이며 강수량은 여름철 강수량은 768.8mm로 연강수량의 57%이다
연중 바람은 봄철(3~5월)에 1.4m/s로 평균풍속이 가장 강하게 나타난다.
계절관측 평년값은 첫서리가 10월 18일, 첫얼음은 10월 25일, 첫눈은 11월 23일이다."
금산군,"금산은 충청남도 최남단에 있으며, 동쪽으로는 충청북도 영동군 옥천군, 서북쪽은 논산시 대전광역시, 남쪽은 전라북도 완주군 진안군 무주군과 접한다. 동서의 길이는 24km, 남북의 길이는 32km로 4각형의 지세를 이룬다. 주위에는 해발 400~900m에 이르는 산이 많은 가운데 금산군은 분지형태를 이룬다. 충청남도에서 가장 높은 산인 서대산이 있다.

연평균기온은 11.6℃, 연평균최고기온은 18.2℃, 연평균최저기온은 5.9℃로 인근 대전과 최고기온은 비슷하나 평균기온과 최저기온이 1∼2℃ 정도 낮다.
연평균강수량은 1296.8mm로 내륙평균값과 비슷하지만 여름철 강수량은 748.2mm, 겨울철 강수량은 95.4mm, 봄철은 217.7mm, 가을철 235.8mm로 여름철에 편중된다.
연평균풍속은 1.1m/s로 약한편이고, 동절기에는 북서풍이 탁월하고, 여름에는 남서계열의 바람이 많이 불고 있다.
계절관측 평년값은 첫서리가 10월 17일, 첫얼음은 10월 23일, 첫눈은 11월 22일이다.
"
천안시,"천안은 충남북부 내륙 도시로 북서쪽 방향 20km 지점에 삽교호와 아산호, 동쪽 방향 5km 지점에 성거산(579m)과 흑성산(519m), 남쪽 방향 12km 지점에 운주산(460km), 남서쪽 14km 지점에 천안에서 가장 높은 광덕산(699m)이 있다. 이와 같이 북동에서 남서쪽으로 뻗은 산맥이 서해안의 해양성 기류의 순전을 차단하여 대륙성기후 특성을 나타내고 있다.

기온은 연평균 11.8℃, 가장 높은 달인 8월의 월평균기온 25.1℃, 가장 낮은 달인 1월의 월평균기온 -2.9℃로 연교차 28.0℃의 뚜렷한 대륙성기후의 특성을 나타나고 있다.
강수량은 연평균 1226.5mm로 계절적 평균으로 봄 193.0mm(16%), 여름 696.1mm(57%), 가을 260.7mm(21%), 겨울 76.6mm(6%)이다.
바람은 연평균 1.6m/s로 여름철에는 남서풍, 겨울철에는 북서풍이 많이 나타났다.
계절관측 평년값은 첫서리가 10월 23일, 첫얼음 10월 27일, 첫눈 11월 20일이다."
서산시,"서산시의 지형지세는 동쪽으로 가야산(678m), 북쪽으로는 망일산(303m)이 있는 동고서저형의 지형지세로 해발 100m 이하의 평야와 구릉지가 전체 면적의 60%를 차지하고 있다. 충남서해안의 중심부인 서산지방은 해양기후 특성을 나타낸다.

연평균기온은 11.9℃로 내륙인 대전보다 조금 낮고, 가장 무더운 달인 8월 월평균기온은 25.1℃, 가장 추운 달인 1월의 월평균기온은 -2.0℃로 연교차는 27.1℃이다.
연평균강수량은 1285.7mm로 중부지방 연평균 강수량과 비슷하지만 내륙지방인 대전보다는 적고 여름철 강수량은 707.7mm로 연평균 강수량의 55%이다.
연평균풍속은 2.4m/s로 내륙지방보다 다소 강한편이다. 봄철에는 남풍이 비교적 강하며, 북동기류 유입시 낮최고기온이 많이 올라간다. 여름철에는 남서기류의 영향으로 습하고 겨울철에는 북서기류의 영향이 탁월해 눈이 자주온다.
계절관측 평년값은 첫서리가 10월 25일, 첫얼음은 11월 2일, 첫눈은 11월 20일이다."
보령시,"보령시는 충청남도 남서에 위치하고 있으며 해안에 형성된 분지이다. 보령시는 동쪽에 차령산맥의 지선인 성주산이 남서로 뻗쳐 있으며, 서쪽에는 서해중부해상으로 리아스식 해안과 안면도, 원산도 등 여러 섬들이 산재하여 해양성기후가 나타난다.

연평균기온은 12.4℃, 가장 무더운 달인 8월 월평균기온은 25.5℃, 가장 추운 달인 1월의 월평균기온은 -0.8℃이며, 연교차는 26.3℃이다.
연평균강수량은 1244.3mm로 내륙 평년값에 비하여 다소 적은 편이며, 여름철 강수량은 703.3mm, 겨울철은 87.9mm로 여름에 강수량이 편중된다.
연평균풍속은 1.9m/s로 내륙보다 강하며, 여름에는 남서기류의 영향을 받아 습하고, 겨울철에는 북서기류에 의한 지형적인 영향으로 눈이 자주 오며, 남서풍과 북서풍에 바람과 파도가 높고, 봄과 여름철에는 해무가 자주 발생한다.
계절관측 평년값은 첫서리가 11월 1일, 첫얼음은 11월 4일, 첫눈은 11월 21일이다."
청주시,"기후적으로 볼 때 청주시는 한반도의 대표적인 온대지역으로서 북한의 한대기후와 남단의 난대기후의 중간적인 기후특성을 가지고 있어 청주의 연평균 기온과 연평균 강수량은 우리나라 전체의 연평균과 대체로 일치하고 있다. 청주는 바다에서 떨어진 내륙에 위치하기 때문에 한서의 차가 비교적 심한 대륙성 기후를 보이고 있다.

연평균기온은 12.5℃, 가장 무더운 달인 8월 월평균기온은 25.8℃, 가장 추운 달인 1월의 월평균기온은 -2.4℃이며, 연교차는 28.2℃이다.
연강수량은 1239.1mm이다. 여름철(6~8월) 강수량은 711.9mm로 연강수량의 57.5%를 차지하고, 겨울철(12~2월) 강수량은 80.8mm로 연강수량의 6.5%를 차지한다.
계절관측 평년값은 첫서리가 10월 22일, 첫얼음은 10월 30일, 첫눈은 11월 22일이다."
보은군,"충북남부내륙에 위치하고, 지형적으로 산맥으로 둘러싸여 있어 커다란 분지의 모습을 하고있다.

연평균기온은 10.9℃, 가장 무더운 달인 8월 월평균기온은 24.1℃, 가장 추운 달인 1월의 월평균기온은 -3.4℃, 연교차는 27.5℃이다.
연강수량은 1297.4mm이며, 여름철(6~8월) 강수량은 762.6mm로 연강수량의 58.8%를 차지하고, 겨울철(12~2월) 강수량은 86.6mm로 연강수량의 6.7%를 차지한다.
계절관측 평년값은 첫서리가 10월 15일, 첫얼음은 10월 21일, 첫눈은 11월 18일이다."
충주시,"연평균기온은 11.2℃이며, 최난월인 8월의 평균기온은 24.9℃, 최한월인 1월의 평균기온은 -4.2℃로, 연교차는 29.1℃이다.
강수량의 평년값은 1212.7mm이며, 평균 습도는 71.9%이다.
풍속의 평년값은 1.2m/s이며, 풍향은 서풍이 지배적이다.
계절관측 평년값은 첫서리가 10월 20일, 첫얼음이 10월 27일, 첫눈이 11월 24일이다."
영동군,"연평균기온은 11.7℃이며, 월별로는 8월의 평균기온이 24.1℃로 가장 높고, 1월의 평균기온이 -2.0℃로 가장 낮다. 연교차는 26.1℃이다.
강수량의 평년값은 1187.1mm이며, 이 중 57%(675.4mm)가 여름철(6~8월)에 내린다.
풍속의 평년값은 2.7m/s이며, 월별로는 12~4월 사이에 바람이 강하게 불고, 6~9월에는 약하게 분다. 풍향은 서풍이 우세하다.
계절관측의 평년값은 첫서리가 10월 24일, 첫얼음은 10월 27일, 첫눈은 11월 18일이다."
제천시,"제천시는 내륙의 해발고도가 높은 곳에 위치하고 있으며, 산으로 둘러싸인 분지지형이다.

연평균기온은 10.2℃이며, 최난월인 8월의 평균기온은 23.8℃, 최한월인 1월의 평균기온은 -5.2로, 연교차는 29℃이다.
강수량의 평년값은 1387.8mm이고, 평균 습도는 69.8%이다.
풍속의 평년값은 1.4m/s이다.
계절관측 평년값은 첫서리가 10월 13일, 첫얼음이 10월 18일, 첫눈이 11월 20일이다."
목포시,"목포지방은 한반도의 남서쪽에 위치하여 전반적으로 하계에는 해양성기후, 동계에는 대륙동안형 기후대로 크게 온대동계건조기후대(Cwa)와 한대동계건조기후대(Dwa)로 구분 할 경우 Cwa에 속한다고 할 수 있다. 기후를 좀더 세분하여 구분하면 서해안형에 해당되며 편서풍지대에 해당되는 우리나라의 기상현상의 발생 및 이동의 전초기지로서의 그 중요성이 매우 크다. 연평균강수량은 1,163.6mm, 일 최다강수량은 394.7㎜(81. 9. 2), 1시간 최다강수량은 64.5㎜(‘04. 7. 03), 년간 강수일수는 119일, 눈이 내리는 날은 년간 27일이다. 년간 연평균기온은 13.9℃, 일 최고기온 37.0℃('94, 7, 24), 일 최저기온 -14.2℃('15, 1, 13), 최고기온이 30℃가 넘는 날은 년간 31일, 최저기온이 0℃이하인 날은 년간 58일이다. 년 평균풍속은 3.9㎧로 비교적 강하게 불고, 여름에는 SW풍, 겨울에는 NW풍이 탁월하며, 겨울철 찬 대륙성 고기압 확장시에는 돌풍현상과 소낙성눈이 자주 내리고 있다."
흑산도,"흑산도지방은 사면이 바다로 둘러 싸여 온대성 해안성기후대에 속한다. 여름에는 고온다습한 남서풍에 의해 안개가 자주 발생하고, 특히 평균습도가 80%이상이다. 겨울에는 찬 시베리아고기압의 영향을 받아 한랭건조하며, 바람은 강하게 나타나고 있다. 연평균 기온은 13.3℃, 최고기온은 16.2℃, 최저기온은 11.5℃가 나타나고 있다. 연평균강수량은 1107.2mm로 서해안과 남해안보다 200~650mm 적게 나타나고 있으며, 월 50㎜ 미만은 6개월에 해당되며, 그 기간은 10월부터 이듬해 3월까지이다. 7월과 8월은 강수량이 급격히 증가한 후 9월부터 다시 감소세를 나타내고 있다. 이처럼 강수량이 여름에 편중되어 봄, 가을, 겨울에 심각한 식수난을 유발하기도 한다. 평균풍속은 1월 7.m/s로 가장 강하게 불고, 6월 4.2m/s로 가장 약하게 나타나고 있으며, 북서계절풍을 받은 겨울철에 강하게 나타나고 있다. 또한, 흑산도지방의 풍속 극값은 2000년 8월 31일 12호 태풍 ‘프라피룬’ 통과 시 기록되었으며 이때 최대풍속은 47.4m/s, 최대순간풍속은 58.3m/s였다."
